RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          308     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.800D+01  3.344D+03
    1    3     1     0  ---    1  3.2D-01  4.5D+01  9.247D+00  2.152D+03
    2    5    10     9  bnd    1  6.5D-02  6.7D-01  7.571D+00  2.051D+03
    3    7     1     0  con    1  2.2D-01  1.6D+00  5.561D+00  1.929D+03
    4    9     1     0  con    1  4.2D-01  1.4D+00  4.273D+00  1.892D+03
    5   10     1     0  con    0  1.0D+00  4.4D-01  3.814D+00  1.880D+03
    6   11     1     0  con    0  1.0D+00  1.7D+00  3.588D+00  1.860D+03
    7   12     1     0  con    0  1.0D+00  2.1D+00  4.380D+00  1.852D+03
    8   13     1     0  con    0  1.0D+00  4.8D-01  4.529D+00  1.839D+03
    9   14     1     0  con    0  1.0D+00  2.4D-01  4.604D+00  1.834D+03
   10   15     2     1  bnd    0  1.0D+00  1.2D+00  4.702D+00  1.822D+03
   11   16     1     3  bnd    0  1.0D+00  2.2D+00  4.767D+00  1.806D+03
   12   17     1     5  bnd    0  1.0D+00  5.1D+00  3.949D+00  1.788D+03
   13   18     1    17  bnd    0  1.0D+00  1.7D+00  3.215D+00  1.767D+03
   14   19     1    21  bnd    0  1.0D+00  1.6D+00  3.046D+00  1.748D+03
   15   20     1    23  bnd    0  1.0D+00  1.1D+00  2.732D+00  1.730D+03
   16   21     1    26  bnd    0  1.0D+00  1.6D+00  2.170D+00  1.711D+03
   17   23     3    32  bnd    1  4.9D-01  1.7D+00  2.312D+00  1.702D+03
   18   24     2    30  bnd    0  1.0D+00  1.3D+00  1.927D+00  1.691D+03
   19   25     2    33  bnd    0  1.0D+00  1.2D+00  1.975D+00  1.686D+03
   20   26     1    37  bnd    0  1.0D+00  4.9D-01  1.965D+00  1.682D+03
   21   27     1    40  bnd    0  1.0D+00  8.3D-01  1.926D+00  1.678D+03
   22   28     1    39  bnd    0  1.0D+00  1.5D+00  1.908D+00  1.672D+03
   23   29     1    39  bnd    0  1.0D+00  1.5D+00  1.839D+00  1.667D+03
   24   30     1    37  bnd    0  1.0D+00  1.1D+00  1.756D+00  1.663D+03
   25   31     1    37  bnd    0  1.0D+00  1.0D+00  1.898D+00  1.660D+03
   26   32     1    35  bnd    0  1.0D+00  7.9D-01  1.586D+00  1.658D+03
   27   33     1    35  con    0  1.0D+00  1.9D+00  1.766D+00  1.655D+03
   28   34     1    35  con    0  1.0D+00  1.7D+00  1.731D+00  1.652D+03
   29   35     1    35  con    0  1.0D+00  1.5D+00  1.722D+00  1.650D+03
   30   36     1    34  con    0  1.0D+00  1.4D+00  1.808D+00  1.647D+03
   31   37     1    34  con    0  1.0D+00  6.4D-01  1.809D+00  1.645D+03
   32   38     1    34  con    0  1.0D+00  8.8D-01  1.779D+00  1.644D+03
   33   40     1    33  con    1  4.2D-01  8.5D-01  1.629D+00  1.643D+03
   34   41     1    32  con    0  1.0D+00  1.2D+00  1.598D+00  1.641D+03
   35   42     1    32  con    0  1.0D+00  1.8D+00  1.482D+00  1.640D+03
   36   43     1    32  con    0  1.0D+00  2.2D+00  1.629D+00  1.638D+03
   37   44     1    32  con    0  1.0D+00  3.5D+00  1.470D+00  1.637D+03
   38   45     1    32  con    0  1.0D+00  2.6D-01  1.553D+00  1.635D+03
   39   46     1    31  con    0  1.0D+00  2.7D-01  1.692D+00  1.635D+03
   40   47     1    31  con    0  1.0D+00  1.2D+00  1.578D+00  1.634D+03
   41   48     1    31  con    0  1.0D+00  1.9D+00  1.496D+00  1.633D+03
   42   49     1    31  con    0  1.0D+00  1.2D+00  1.504D+00  1.632D+03
   43   50     1    28  bnd    0  1.0D+00  1.5D+00  1.479D+00  1.631D+03
   44   51     1    29  con    0  1.0D+00  1.4D+00  1.530D+00  1.630D+03
   45   52     1    29  con    0  1.0D+00  2.6D+00  1.495D+00  1.630D+03
   46   53     1    28  bnd    0  1.0D+00  1.4D-01  1.512D+00  1.629D+03
   47   54     1    28  con    0  1.0D+00  2.0D-01  1.518D+00  1.628D+03
   48   55     1    28  con    0  1.0D+00  1.6D+00  1.447D+00  1.627D+03
   49   57     1    28  con    1  4.7D-01  1.2D+00  1.411D+00  1.627D+03
   50   58     1    28  con    0  1.0D+00  2.0D+00  1.438D+00  1.626D+03
   51   59     1    28  con    0  1.0D+00  1.7D+00  1.442D+00  1.625D+03
   52   60     1    27  con    0  1.0D+00  2.2D+00  1.368D+00  1.625D+03
   53   61     1    27  con    0  1.0D+00  3.2D+00  1.481D+00  1.624D+03
   54   62     1    27  con    0  1.0D+00  9.0D-01  1.510D+00  1.623D+03
   55   63     1    27  con    0  1.0D+00  8.1D-01  1.512D+00  1.623D+03
   56   64     1    27  con    0  1.0D+00  6.5D-01  1.364D+00  1.622D+03
   57   65     1    27  con    0  1.0D+00  1.9D+00  1.322D+00  1.621D+03
   58   67     1    27  con    1  3.8D-01  1.5D+00  1.331D+00  1.621D+03
   59   68     1    27  con    0  1.0D+00  1.1D+00  1.538D+00  1.620D+03
   60   69     1    27  con    0  1.0D+00  8.6D-01  1.576D+00  1.620D+03
   61   70     1    26  con    0  1.0D+00  6.0D-01  1.534D+00  1.619D+03
